Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Argentina striata,Chordata,Actinopterygii,Osmeriformes,Argentinidae,,158718,exact,urn:lsid:marinespecies.org:taxname:158718,Argentina striata,158718,Argentina striata
Argyropelecus aculeatus,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,127306,exact,urn:lsid:marinespecies.org:taxname:127306,Argyropelecus aculeatus,127306,Argyropelecus aculeatus
Argyropelecus affinis,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,127307,exact,urn:lsid:marinespecies.org:taxname:127307,Argyropelecus affinis,127307,Argyropelecus affinis
Argyropelecus gigas,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,127308,exact,urn:lsid:marinespecies.org:taxname:127308,Argyropelecus gigas,127308,Argyropelecus gigas
Argyropelecus hemigymnus,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,127309,exact,urn:lsid:marinespecies.org:taxname:127309,Argyropelecus hemigymnus,127309,Argyropelecus hemigymnus
Ariomma bondi,Chordata,Actinopterygii,Perciformes,Ariommatidae,,159592,exact,urn:lsid:marinespecies.org:taxname:159592,Ariomma bondi,159592,Ariomma bondi
Ariomma melanum,Chordata,Actinopterygii,Perciformes,Ariommatidae,,159593,exact,urn:lsid:marinespecies.org:taxname:159593,Ariomma melanum,403239,Ariomma melana
Ariosoma anale,Chordata,Actinopterygii,Anguilliformes,Congridae,,158565,exact,urn:lsid:marinespecies.org:taxname:158565,Ariosoma anale,158565,Ariosoma anale
Ariosoma balearicum,Chordata,Actinopterygii,Anguilliformes,Congridae,,126283,exact,urn:lsid:marinespecies.org:taxname:126283,Ariosoma balearicum,126283,Ariosoma balearicum
Aristostomias lunifer,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127318,exact,urn:lsid:marinespecies.org:taxname:127318,Aristostomias lunifer,127318,Aristostomias lunifer
Aristostomias polydactylus,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,158842,exact,urn:lsid:marinespecies.org:taxname:158842,Aristostomias polydactylus,158842,Aristostomias polydactylus
Aristostomias tittmanni,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127319,exact,urn:lsid:marinespecies.org:taxname:127319,Aristostomias tittmanni,127319,Aristostomias tittmanni
Artediellus atlanticus,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,127193,exact,urn:lsid:marinespecies.org:taxname:127193,Artediellus atlanticus,127193,Artediellus atlanticus
Aspidophoroides monopterygius,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,,159459,exact,urn:lsid:marinespecies.org:taxname:159459,Aspidophoroides monopterygius,159459,Aspidophoroides monopterygius
